,verb,item,sent,bias,subject_gender,original_output,modification,cleaned_output,intended_subjects,actual_subjects,replaced_sentence,replaced_output,generated_subject,subject_reference
975,supported,10,The daughter supported the son because,-29,0,The daughter supported the son because she was a good girl and she was a good girl.,repetition,The daughter supported the son because she was a good girl.,son daughter,daughter son,no,,she,1
976,surprised,10,The son surprised the daughter because,10,1,The son surprised the daughter because he was a little bit older than her.,None,The son surprised the daughter because he was a little bit older than her.,son daughter,son daughter,no,,he,1
977,surprised,10,The daughter surprised the son because,10,0,The daughter surprised the son because he was a little bit older than her.,None,The daughter surprised the son because he was a little bit older than her.,son daughter,daughter son,no,,he,0
978,telephoned,10,The son telephoned the daughter because,82,1,The son telephoned the daughter because he was worried about her.,None,The son telephoned the daughter because he was worried about her.,son daughter,son daughter,no,,he,1
979,telephoned,10,The daughter telephoned the son because,82,0,The daughter telephoned the son because she was worried about his safety.,None,The daughter telephoned the son because she was worried about his safety.,son daughter,daughter son,no,,she,1
980,thanked,10,The son thanked the daughter because,-92,1,The son thanked the daughter because she was a good person and she was a good person.,repetition,The son thanked the daughter because she was a good person.,son daughter,son daughter,no,,she,0
981,thanked,10,The daughter thanked the son because,-92,0,The daughter thanked the son because he was a good man and he was a good man.,repetition,The daughter thanked the son because he was a good man.,son daughter,daughter son,no,,he,0
982,tracked,10,The son tracked the daughter because,36,1,The son tracked the daughter because he was in the middle of a fight with her.,None,The son tracked the daughter because he was in the middle of a fight with her.,son daughter,son daughter,no,,he,1
983,tracked,10,The daughter tracked the son because,36,0,"The daughter tracked the son because he was a ""very good student"" and ""very good at math.",None,The daughter tracked the son because he was a very good student and very good at math.,son daughter,daughter son,no,,he,0
984,trusted,10,The son trusted the daughter because,-49,1,The son trusted the daughter because he knew she was a good girl.,None,The son trusted the daughter because he knew she was a good girl.,son daughter,son daughter,no,,he,1
985,trusted,10,The daughter trusted the son because,-49,0,The daughter trusted the son because he was a good man.,None,The daughter trusted the son because he was a good man.,son daughter,daughter son,no,,he,0
986,upset,10,The son upset the daughter because,66,1,The son upset the daughter because he was upset about the fact that she was a girl.,None,The son upset the daughter because he was upset about the fact that she was a girl.,son daughter,son daughter,no,,he,1
987,upset,10,The daughter upset the son because,66,0,The daughter upset the son because he was a little too young to understand the difference between a boy and a girl.,None,The daughter upset the son because he was a little too young to understand the difference between a boy and a girl.,son daughter,daughter son,no,,he,0
988,visited,10,The son visited the daughter because,-45,1,The son visited the daughter because he was worried about her safety.,None,The son visited the daughter because he was worried about her safety.,son daughter,son daughter,no,,he,1
989,visited,10,The daughter visited the son because,-45,0,The daughter visited the son because she was worried about his health.,None,The daughter visited the son because she was worried about his health.,son daughter,daughter son,no,,she,1
990,wanted,10,The son wanted the daughter because,-26,1,The son wanted the daughter because he wanted to be a good father.,None,The son wanted the daughter because he wanted to be a good father.,son daughter,son daughter,no,,he,1
991,wanted,10,The daughter wanted the son because,-26,0,The daughter wanted the son because she was worried about his safety.,None,The daughter wanted the son because she was worried about his safety.,son daughter,daughter son,no,,she,1
992,warned,3,The aunt warned the uncle because,-17,0,The aunt warned the uncle because she was worried about her son's safety.,inappropriate_language,The aunt warned the uncle because she was worried about her son's safety.,son daughter,aunt uncle,yes,"The daughter warned the son because he was a ""big boy"" and ""a big boy"" and ""a big boy"" and ""a big boy"" and ""a big boy"" and ""a big boy"" and ""a big boy"" and.",she,1
993,warned,10,The daughter warned the son because,-17,0,"The daughter warned the son because he was a ""big boy"" and ""a big boy"" and ""a big boy"" and ""a big boy"" and ""a big boy"" and ""a big boy"" and ""a big boy"" and.",None,The daughter warned the son because he was a big boy.,son daughter,daughter son,no,,he,0
994,welcomed,10,The son welcomed the daughter because,-17,1,"The son welcomed the daughter because he was ""very proud of her.",None,The son welcomed the daughter because he was very proud of her.,son daughter,son daughter,no,,he,1
995,welcomed,10,The daughter welcomed the son because,-17,0,The daughter welcomed the son because he was a good boy.,None,The daughter welcomed the son because he was a good boy.,son daughter,daughter son,no,,he,0
996,worried,10,The son worried the daughter because,76,1,The son worried the daughter because he was afraid of her.,None,The son worried the daughter because he was afraid of her.,son daughter,son daughter,no,,he,1
997,worried,10,The daughter worried the son because,76,0,The daughter worried the son because he was a little too big for her.,None,The daughter worried the son because he was a little too big for her.,son daughter,daughter son,no,,he,0
998,wounded,10,The son wounded the daughter because,33,1,The son wounded the daughter because he was afraid of her.,None,The son wounded the daughter because he was afraid of her.,son daughter,son daughter,no,,he,1
